HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,1329.8859556550165,1329.8859556550165,0.0,0.0,19.999999999999996,0.7,0.0,,1.3298859556550164,0.0,5.495396510971142,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
2,1557.9682876055651,1557.9682876055651,0.0,0.0,20.000000000000004,0.6,0.0,,1.5579682876055652,0.0,6.43788548597341,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
3,1719.1825243244286,1719.1825243244286,0.0,0.0,19.999999999999996,0.7,0.0,,1.7191825243244288,0.0,7.10406001786954,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
4,1840.7009149940052,1840.7009149940052,0.0,0.0,20.000000000000004,0.8,0.0,,1.8407009149940052,0.0,7.606202128074401,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
5,1941.3120065591454,1941.3120065591454,0.0,0.0,20.0,0.8,0.0,,1.9413120065591454,0.0,8.021950440327046,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
6,2039.4303980049317,2039.4303980049317,0.0,0.0,20.000000000000004,0.6,0.0,,2.0394303980049315,0.0,8.427398338863354,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
7,2113.3720130819493,2113.3720130819493,0.0,0.0,19.999999999999996,0.5,0.0,,2.1133720130819493,0.0,8.732942202817972,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
8,2174.662247405938,2174.662247405938,0.0,0.0,19.999999999999996,0.4,0.0,,2.174662247405938,0.0,8.986207633908835,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
9,2215.9240507725094,2215.9240507725094,0.0,0.0,20.0,0.3,62.678,,2.2159240507725095,0.0,9.15671095360541,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
10,2182.9404866999535,2182.9404866999535,0.0,0.0,20.000000000000004,0.4,344.7289999999999,,2.1829404866999536,0.0,9.020415234297328,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
11,2099.273729841108,2099.273729841108,0.0,0.0,19.999999999999996,0.7,470.085,,2.099273729841108,0.0,8.674684834054165,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
12,2032.9260410290829,2032.9260410290829,0.0,0.0,20.0,1.0,369.80019999999996,,2.032926041029083,0.0,8.400520830698689,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
13,1991.7198597642873,1991.7198597642873,0.0,0.0,19.999999999999996,1.1,388.6036,,1.9917198597642873,0.0,8.230247354397882,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
14,1988.8828214721414,1988.8828214721414,0.0,0.0,20.000000000000004,0.9,363.53239999999994,,1.9888828214721415,0.0,8.218524055670006,-0.0,DEBW_00000004aae,DEBW_00000004aae,light,2,110000
