HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,2001.6742961117352,2001.6742961117352,0.0,0.0,19.999999999999996,0.7,0.0,,2.001674296111735,0.0,8.271381388891468,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
2,2565.9799570212913,2565.9799570212913,0.0,0.0,20.000000000000007,0.6,0.0,,2.565979957021291,0.0,10.603222962897897,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
3,3044.4954741830934,3044.4954741830934,0.0,0.0,20.0,0.7,0.0,,3.044495474183093,0.0,12.58055981067394,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
4,3464.3275635693135,3464.3275635693135,0.0,0.0,20.0,0.8,0.0,,3.4643275635693134,0.0,14.315403155245097,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
5,3845.3875729201113,3845.3875729201113,0.0,0.0,20.000000000000007,0.8,0.0,,3.8453875729201115,0.0,15.89003129305831,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
6,4209.907897905924,4209.907897905924,0.0,0.0,20.000000000000004,0.6,0.0,,4.209907897905924,0.0,17.39631362771043,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
7,4529.077940999647,4529.077940999647,0.0,0.0,19.999999999999996,0.5,0.0,,4.529077940999647,0.0,18.715198103304324,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
8,4816.728696666054,4816.728696666054,0.0,0.0,20.000000000000004,0.4,0.0,,4.816728696666054,0.0,19.90383758952915,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
9,5064.46409972833,5064.46409972833,0.0,0.0,20.000000000000004,0.3,116.27,,5.064464099728331,0.0,20.927537602183182,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
10,5209.439954919854,5209.439954919854,0.0,0.0,20.000000000000007,0.4,639.4849999999999,,5.209439954919854,0.0,21.52661138396634,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
11,5287.720578225635,5287.720578225635,0.0,0.0,19.999999999999996,0.7,872.025,,5.287720578225635,0.0,21.85008503399023,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
12,5364.675606480064,5364.675606480064,0.0,0.0,19.999999999999996,1.0,685.9929999999999,,5.364675606480064,0.0,22.16808101851266,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
13,5440.487024610971,5440.487024610971,0.0,0.0,20.000000000000004,1.1,720.874,,5.440487024610971,0.0,22.48135134136765,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
14,5548.079488049519,5548.079488049519,0.0,0.0,20.0,0.9,674.366,,5.548079488049519,0.0,22.925948297725284,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
15,5681.052793726694,5681.052793726694,0.0,0.0,19.99999999999999,0.6,523.2149999999999,,5.681052793726694,0.0,23.47542476746568,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
16,5848.533153524755,5848.533153524755,0.0,0.0,20.00000000000001,0.2,290.67499999999995,,5.848533153524755,0.0,24.167492369937005,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
17,6013.019245754643,6013.019245754643,0.0,0.0,20.000000000000007,0.0,34.881,,6.013019245754642,0.0,24.847186965928277,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
18,6142.769070890702,6142.769070890702,0.0,0.0,20.000000000000007,0.0,0.0,,6.142769070890702,0.0,25.383343268143395,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
19,6217.704353383671,6217.704353383671,0.0,0.0,20.0,0.3,0.0,,6.217704353383671,0.0,25.692993195800295,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
20,6243.897223908023,6243.897223908023,0.0,0.0,20.000000000000007,0.8,0.0,,6.243897223908023,0.0,25.80122819796704,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
21,6244.2650208601835,6244.2650208601835,0.0,0.0,20.000000000000014,1.3,0.0,,6.244265020860183,0.0,25.802748020083403,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
22,6248.278845432645,6248.278845432645,0.0,0.0,19.999999999999993,1.6,0.0,,6.248278845432645,0.0,25.819334072035723,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
23,6291.222458567329,6291.222458567329,0.0,0.0,20.000000000000004,1.5,0.0,,6.291222458567329,0.0,25.996787018873263,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
24,6373.708800414612,6373.708800414612,0.0,0.0,20.000000000000004,1.1,0.0,,6.373708800414612,0.0,26.33763967113476,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
25,6451.882683775313,6451.882683775313,0.0,0.0,19.999999999999996,0.8,0.0,,6.451882683775313,0.0,26.660672247005426,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
26,6508.383735930932,6508.383735930932,0.0,0.0,19.999999999999996,0.7,0.0,,6.508383735930932,0.0,26.894147669136082,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
27,6549.792858480821,6549.792858480821,0.0,0.0,19.999999999999996,0.7,0.0,,6.549792858480822,0.0,27.06525974578852,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
28,6586.519415024392,6586.519415024392,0.0,0.0,19.999999999999986,0.7,0.0,,6.586519415024393,0.0,27.21702237613385,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
29,6619.092912661914,6619.092912661914,0.0,0.0,20.000000000000004,0.7,0.0,,6.619092912661914,0.0,27.351623606040967,-0.0,DEBW_00000002aac,DEBW_00000002aac,heavy,4,260000
