HOY,HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP,HeatingDemand_kWh_h,CoolingDemand_kWh_h,HeatingDemand_Wh_m2h,CoolingDemand_Wh_m2h,Building ID,Building ID [filename],Thermal class,Thermal class index,Thermal capacitance [J/m2K]
1,0.0,0.0,0.0,0.0,19.288042168874423,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
2,0.0,0.0,0.0,0.0,19.158543818324958,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
3,0.0,0.0,0.0,0.0,19.040001146333037,0.7,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
4,0.0,0.0,0.0,0.0,18.923580281810974,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
5,0.0,0.0,0.0,0.0,18.803925983245865,0.8,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
6,0.0,0.0,0.0,0.0,18.67476411326932,0.6,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
7,0.0,0.0,0.0,0.0,18.550249124562058,0.5,0.0,,0.0,0.0,0.0,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
8,2791.513684308642,2791.513684308642,0.0,0.0,20.0,0.4,0.0,,2.791513684308642,0.0,11.535180513672074,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
9,2750.860509903928,2750.860509903928,0.0,0.0,20.000000000000004,0.3,62.678,,2.750860509903928,0.0,11.367192189685651,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
10,2667.3028313290306,2667.3028313290306,0.0,0.0,19.999999999999996,0.4,344.7289999999999,,2.667302831329031,0.0,11.021912526153018,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
11,2561.4681453859907,2561.4681453859907,0.0,0.0,20.000000000000004,0.7,470.085,,2.561468145385991,0.0,10.584579113165251,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
12,2473.572019225101,2473.572019225101,0.0,0.0,20.000000000000004,1.0,369.80019999999996,,2.473572019225101,0.0,10.221371980269012,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
13,2404.9767741659466,2404.9767741659466,0.0,0.0,20.0,1.1,388.6036,,2.4049767741659465,0.0,9.937920554404737,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
14,2372.901329640086,2372.901329640086,0.0,0.0,20.000000000000004,0.9,363.53239999999994,,2.3729013296400856,0.0,9.805377395206966,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
15,2365.4787076535463,2365.4787076535463,0.0,0.0,20.000000000000007,0.6,282.05099999999993,,2.3654787076535464,0.0,9.77470540352705,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
16,2385.99720495065,2385.99720495065,0.0,0.0,20.0,0.2,156.69499999999996,,2.38599720495065,0.0,9.859492582440703,-0.0,DEBW_00000004aae,DEBW_00000004aae,heavy,4,260000
